episode,total_reward,learning_rate
1,34.0,0.96
2,-111.0,0.9216
3,-110.0,0.884736
4,-105.0,0.84934656
5,87.0,0.8153726976
6,-61.0,0.782757789696
7,-17.0,0.7514474781081599
8,-17.0,0.7213895789838335
9,-24.0,0.6925339958244802
10,49.0,0.6648326359915009
11,-119.0,0.6382393305518408
12,-9.0,0.6127097573297672
13,61.0,0.5882013670365764
14,27.0,0.5646733123551133
15,11.0,0.5420863798609088
16,3.0,0.5204029246664724
17,25.0,0.4995868076798135
18,68.0,0.47960333537262095
19,18.0,0.4604192019577161
20,58.0,0.4420024338794074
21,76.0,0.42432233652423107
22,63.0,0.4073494430632618
23,56.0,0.3910554653407313
24,34.0,0.3754132467271021
25,37.0,0.360396716858018
26,47.0,0.3459808481836973
27,55.0,0.33214161425634936
28,44.0,0.3188559496860954
29,50.0,0.3061017116986515
30,38.0,0.29385764323070546
31,53.0,0.2821033375014772
32,55.0,0.2708192040014181
33,6.0,0.2599864358413614
34,18.0,0.2495869784077069
35,21.0,0.23960349927139862
36,-120.0,0.23001935930054268
37,37.0,0.22081858492852097
38,43.0,0.21198584153138011
39,27.0,0.2035064078701249
40,39.0,0.1953661515553199
41,46.0,0.1875515054931071
42,28.0,0.1800494452733828
43,37.0,0.17284746746244747
44,37.0,0.16593356876394957
45,28.0,0.15929622601339158
46,-120.0,0.1529243769728559
47,37.0,0.14680740189394167
48,37.0,0.140935105818184
49,36.0,0.13529770158545662
50,39.0,0.12988579352203836
51,42.0,0.12469036178115682
52,44.0,0.11970274730991054
53,31.0,0.11491463741751412
54,34.0,0.11031805192081355
55,32.0,0.105905329843981
56,34.0,0.10166911665022176
57,33.0,0.09760235198421288
58,33.0,0.09369825790484436
59,30.0,0.08995032758865058
60,39.0,0.08635231448510455
61,33.0,0.08289822190570037
62,40.0,0.07958229302947235
63,38.0,0.07639900130829345
64,37.0,0.07334304125596171
65,33.0,0.07040931960572323
66,31.0,0.0675929468214943
67,30.0,0.06488922894863453
68,33.0,0.06229365979068914
69,37.0,0.059801913399061574
70,30.0,0.05740983686309911
71,30.0,0.05511344338857514
72,30.0,0.052908905653032134
73,33.0,0.050792549426910846
74,33.0,0.04876084744983441
75,36.0,0.04876084744983441
76,36.0,0.04876084744983441
77,34.0,0.04876084744983441
78,32.0,0.04876084744983441
79,35.0,0.04876084744983441
80,32.0,0.04876084744983441
81,22.0,0.04876084744983441
82,31.0,0.04876084744983441
83,40.0,0.04876084744983441
84,38.0,0.04876084744983441
85,33.0,0.04876084744983441
86,34.0,0.04876084744983441
87,31.0,0.04876084744983441
88,32.0,0.04876084744983441
89,31.0,0.04876084744983441
90,30.0,0.04876084744983441
91,31.0,0.04876084744983441
92,36.0,0.04876084744983441
93,27.0,0.04876084744983441
94,33.0,0.04876084744983441
95,32.0,0.04876084744983441
96,36.0,0.04876084744983441
97,32.0,0.04876084744983441
98,19.0,0.04876084744983441
99,34.0,0.04876084744983441
100,31.0,0.04876084744983441
101,36.0,0.04876084744983441
102,28.0,0.04876084744983441
103,26.0,0.04876084744983441
104,33.0,0.04876084744983441
105,31.0,0.04876084744983441
106,27.0,0.04876084744983441
107,36.0,0.04876084744983441
108,31.0,0.04876084744983441
109,30.0,0.04876084744983441
110,29.0,0.04876084744983441
111,33.0,0.04876084744983441
112,35.0,0.04876084744983441
113,29.0,0.04876084744983441
114,40.0,0.04876084744983441
115,41.0,0.04876084744983441
116,41.0,0.04876084744983441
117,29.0,0.04876084744983441
118,5.0,0.04876084744983441
119,29.0,0.04876084744983441
120,34.0,0.04876084744983441
121,30.0,0.04876084744983441
122,33.0,0.04876084744983441
123,28.0,0.04876084744983441
124,30.0,0.04876084744983441
125,29.0,0.04876084744983441
126,33.0,0.04876084744983441
127,37.0,0.04876084744983441
128,27.0,0.04876084744983441
129,25.0,0.04876084744983441
130,29.0,0.04876084744983441
131,33.0,0.04876084744983441
132,27.0,0.04876084744983441
133,28.0,0.04876084744983441
134,32.0,0.04876084744983441
135,32.0,0.04876084744983441
136,32.0,0.04876084744983441
137,31.0,0.04876084744983441
138,30.0,0.04876084744983441
139,28.0,0.04876084744983441
140,26.0,0.04876084744983441
141,40.0,0.04876084744983441
142,32.0,0.04876084744983441
143,28.0,0.04876084744983441
144,28.0,0.04876084744983441
145,32.0,0.04876084744983441
146,30.0,0.04876084744983441
147,33.0,0.04876084744983441
148,26.0,0.04876084744983441
149,20.0,0.04876084744983441
150,1.0,0.04876084744983441
151,30.0,0.04876084744983441
152,22.0,0.04876084744983441
153,26.0,0.04876084744983441
154,29.0,0.04876084744983441
155,25.0,0.04876084744983441
156,37.0,0.04876084744983441
157,25.0,0.04876084744983441
158,26.0,0.04876084744983441
159,27.0,0.04876084744983441
160,19.0,0.04876084744983441
161,32.0,0.04876084744983441
162,30.0,0.04876084744983441
163,28.0,0.04876084744983441
164,33.0,0.04876084744983441
165,34.0,0.04876084744983441
166,37.0,0.04876084744983441
167,29.0,0.04876084744983441
168,30.0,0.04876084744983441
169,26.0,0.04876084744983441
170,33.0,0.04876084744983441
171,30.0,0.04876084744983441
172,22.0,0.04876084744983441
173,29.0,0.04876084744983441
174,32.0,0.04876084744983441
175,36.0,0.04876084744983441
176,27.0,0.04876084744983441
177,29.0,0.04876084744983441
178,27.0,0.04876084744983441
179,21.0,0.04876084744983441
180,20.0,0.04876084744983441
181,26.0,0.04876084744983441
182,30.0,0.04876084744983441
183,32.0,0.04876084744983441
184,34.0,0.04876084744983441
185,29.0,0.04876084744983441
186,14.0,0.04876084744983441
187,26.0,0.04876084744983441
188,23.0,0.04876084744983441
189,30.0,0.04876084744983441
190,25.0,0.04876084744983441
191,30.0,0.04876084744983441
192,28.0,0.04876084744983441
193,20.0,0.04876084744983441
194,20.0,0.04876084744983441
195,29.0,0.04876084744983441
196,32.0,0.04876084744983441
197,32.0,0.04876084744983441
198,27.0,0.04876084744983441
199,27.0,0.04876084744983441
200,30.0,0.0
201,29.0,0.0
202,31.0,0.0
203,29.0,0.0
204,31.0,0.0
205,30.0,0.0
206,29.0,0.0
207,30.0,0.0
208,29.0,0.0
209,32.0,0.0
210,30.0,0.0
211,31.0,0.0
212,30.0,0.0
213,30.0,0.0
214,29.0,0.0
215,29.0,0.0
216,29.0,0.0
217,32.0,0.0
218,31.0,0.0
219,31.0,0.0
220,30.0,0.0
221,30.0,0.0
222,30.0,0.0
223,29.0,0.0
224,29.0,0.0
225,31.0,0.0
226,33.0,0.0
227,29.0,0.0
228,31.0,0.0
229,31.0,0.0
230,31.0,0.0
231,29.0,0.0
232,30.0,0.0
233,32.0,0.0
234,29.0,0.0
235,30.0,0.0
236,29.0,0.0
237,31.0,0.0
238,31.0,0.0
239,29.0,0.0
240,29.0,0.0
241,29.0,0.0
242,29.0,0.0
243,29.0,0.0
244,31.0,0.0
245,29.0,0.0
246,28.0,0.0
247,31.0,0.0
248,30.0,0.0
249,31.0,0.0
250,31.0,0.0
251,30.0,0.0
252,33.0,0.0
253,29.0,0.0
254,29.0,0.0
255,30.0,0.0
256,29.0,0.0
257,30.0,0.0
258,32.0,0.0
259,28.0,0.0
260,31.0,0.0
261,31.0,0.0
262,29.0,0.0
263,29.0,0.0
264,29.0,0.0
265,29.0,0.0
266,29.0,0.0
267,31.0,0.0
268,28.0,0.0
269,29.0,0.0
270,31.0,0.0
271,29.0,0.0
272,31.0,0.0
273,32.0,0.0
274,30.0,0.0
275,28.0,0.0
276,29.0,0.0
277,31.0,0.0
278,31.0,0.0
279,31.0,0.0
280,31.0,0.0
281,29.0,0.0
282,31.0,0.0
283,29.0,0.0
284,28.0,0.0
285,31.0,0.0
286,31.0,0.0
287,31.0,0.0
288,29.0,0.0
289,29.0,0.0
290,31.0,0.0
291,29.0,0.0
292,29.0,0.0
293,31.0,0.0
294,29.0,0.0
295,27.0,0.0
296,32.0,0.0
297,30.0,0.0
298,29.0,0.0
299,30.0,0.0
300,31.0,0.0
